measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2008,148.85909624838644,294.8569289702796,61.821451136020464
Deaths,Latin America & Caribbean - WB,Both,Under 5,Malaria,Number,2008,322.90670198022093,647.8694946302046,143.09648633480896
Deaths,Latin America & Caribbean - WB,Both,5-14 years,Malaria,Number,2008,198.14674817210198,380.68598110667745,96.25034535772927
Deaths,Latin America & Caribbean - WB,Both,15-49 years,Malaria,Number,2008,1014.8579493704403,1976.7420137736242,472.79696509612097
Deaths,Latin America & Caribbean - WB,Both,50 to 74 years,Malaria,Number,2008,376.1943321948836,756.1745269425937,172.30298492589515
Deaths,Latin America & Caribbean - WB,Both,75 plus,Malaria,Number,2008,14.363435596089127,27.802245438325873,7.05364895635056
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2008,25519.41007979083,47162.20268899984,13484.555768027398
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2008,20259.115130440186,33901.41334714373,11519.917878883216
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2008,15181.351758629382,26937.394828550787,7554.121189432784
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2008,10610.772131724183,20040.16270632915,5013.047689171412
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2008,497.0152238061539,998.0089288455974,228.49497756468548
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2008,565533.5396652573,873020.481405628,317915.00938278245
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2008,35291.03941724099,57837.10313459453,18986.698474666544
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2008,103535.91585303738,172115.90544220735,55251.42248563467
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2008,124029.19527801675,200935.93015494384,66257.01128145929
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2008,7870.70767352726,13953.544025538798,3799.426055324335
Deaths,North America,Both,Under 5,Malaria,Number,2008,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2008,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2008,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2008,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2008,0.0,0.0,0.0
