Gene,logFC,FDR
2310061C15Rik,0.189462421,0.741541
2310061F22Rik,-0.096989005,0.981934
2310061I04Rik,0.395986127,0.533181
2310061J03Rik,-0.176672177,0.920286
2310061N02Rik,0,1
2310067B10Rik,-0.151938689,0.664385
2310068J16Rik,-0.104870741,1
2310079F23Rik,-0.038285066,0.958698
2310079G19Rik,0,1
2400001E08Rik,0.320881468,0.379775
2400003C14Rik,0.246976385,0.522744
2410001C21Rik,0.119077983,0.721249
2410002F23Rik,0.153244185,0.696536
2410002I01Rik,0.670127455,0.118551
2410002O22Rik,0.184230382,0.563665
2410003K15Rik,0.561613582,0.2845
2410004A20Rik,1.000116749,0.194269
2410004B18Rik,0.071289895,0.913072
2410004P03Rik,-1.002991884,0.0591278
2410006H16Rik,-0.042478601,0.955452
2410012M07Rik,0,1
2410015M20Rik,0.347248119,0.397617
2410016O06Rik,-0.487952604,0.277436
2410017I17Rik,-0.99780977,1
2410017P07Rik,-0.24613183,1
2410018L13Rik,-0.291177463,1
2410022L05Rik,-0.002015099,0.997309
2410022M11Rik,-0.239177161,0.76968
2410025L10Rik,-0.956335237,1
2410042D21Rik,0.575949839,0.379581
2410066E13Rik,-1.660987879,0.00175914
2410075B13Rik,-0.203016729,0.740179
2410076I21Rik,0.517558372,0.940071
2410089E03Rik,-0.4442851,0.203105
2410091C18Rik,0.159291827,0.905056
2410127L17Rik,0.225081956,0.907919
2410129H14Rik,0.040813402,0.985486
2410131K14Rik,0.032068646,0.960076
2410137F16Rik,0.472680118,1
2410137M14Rik,-1.826415677,0.519392
2500003M10Rik,-0.038353486,0.943897
2510002D24Rik,0.075385086,0.906984
2510003E04Rik,-0.21717317,0.550247
2510006D16Rik,0.063743966,0.902911
2510009E07Rik,-0.543532348,0.0543561
2510012J08Rik,0.002449277,0.995656
2510039O18Rik,0.219180894,0.45314
2510049J12Rik,2.547137619,0.000670633
2610001J05Rik,0.136991713,0.723365
2610002D18Rik,1.841028041,0.0280202
2610002I17Rik,0.514973837,0.38183
2610002J02Rik,-0.241653442,0.576138
2610002M06Rik,-0.009906375,0.981771
2610008E11Rik,-0.805401903,0.0363463
2610015P09Rik,-0.275318982,0.682387
2610017I09Rik,0.037880739,1
2610018G03Rik,-0.056140113,0.943868
2610019F03Rik,-1.427717118,0.0264399
2610020H08Rik,0.284092406,0.674132
2610021K21Rik,-0.128751067,0.923349
2610024G14Rik,0.595171142,0.143811
2610027L16Rik,0.443857156,0.239514
2610028E06Rik,-0.253039477,1
2610028H24Rik,-1.907144464,0.0662613
2610029G23Rik,0.590827112,0.212871
2610029I01Rik,-0.119662724,0.849185
2610034B18Rik,0.016393352,0.973427
2610034M16Rik,0,1
2610035D17Rik,0.448951347,0.421299
2610039C10Rik,0.174355358,0.744848
2610042L04Rik,-0.668849592,0.81131
2610044O15Rik,-0.120932559,0.860368
2610100L16Rik,0,1
2610101N10Rik,0.026365714,0.97839
2610109H07Rik,-1.495299141,1
2610110G12Rik,0.624757945,0.844298
2610203C20Rik,-1.131731214,0.0282811
2610203C22Rik,-0.594560343,0.667207
2610204G22Rik,-0.964697031,0.277521
2610301B20Rik,-0.415158256,0.295928
2610301G19Rik,-0.138374238,0.715673
2610305D13Rik,0.095984629,0.915673
2610306M01Rik,-0.629484992,0.326887
2610318N02Rik,1.213686779,0.128358
2610507B11Rik,0.368971524,0.106562
2610524H06Rik,-0.277913799,0.691593
2610528E23Rik,-0.401371798,0.772693
2610528J11Rik,0.820025785,0.0822043
2700007P21Rik,0.081587561,0.857474
2700023E23Rik,0.656795779,0.291019
2700029M09Rik,0.229337023,0.585523
2700046A07Rik,-0.897477886,1
2700046G09Rik,-0.17565621,0.955658
2700049A03Rik,-0.399060025,0.36482
2700050L05Rik,0.167949521,0.62775
2700060E02Rik,0.239450769,0.701378
2700062C07Rik,-0.294270459,0.601182
2700078E11Rik,0.27461089,0.315574
2700078K21Rik,0.062881828,0.912297
2700081O15Rik,-0.752895399,0.208246
2700086A05Rik,-2.163571582,0.465156
2700089E24Rik,-0.067571065,0.863043
2700094K13Rik,0.394747892,0.382953
2700097O09Rik,-0.114777647,0.882881
2700099C18Rik,0.850091945,0.418334
2810001G20Rik,-0.56366149,0.381242
2810002D19Rik,-0.318848319,0.657204
2810002N01Rik,-0.377175061,0.415394
2810004N23Rik,0.260420563,0.725942
2810006K23Rik,-0.244776558,0.744502
2810007J24Rik,0,1
2810008D09Rik,-0.201130493,0.722901
2810008M24Rik,0.424076804,0.126991
2810021B07Rik,0.078909976,0.914214
2810021J22Rik,-0.375356095,0.429626
2810025M15Rik,-0.815315503,0.240834
2810026P18Rik,0.025889119,0.970835
2810030E01Rik,-0.249188229,0.649108
2810032G03Rik,-0.968309543,0.201283
2810046L04Rik,-0.134834897,0.733228
2810047C21Rik1,0.556925444,1
2810055F11Rik,-0.425372618,0.425961
2810055G20Rik,-0.79565421,0.243395
2810403A07Rik,0.238790122,0.399995
2810403D21Rik,0.174363851,0.937321
2810405F15Rik,-0.288748323,1
2810405K02Rik,-0.316324983,0.603189
2810407C02Rik,0.159581904,0.573118
2810408A11Rik,0.754833956,0.299915
2810408M09Rik,-0.076055559,0.90236
2810410L24Rik,-0.939976684,0.135751
2810417H13Rik,2.170461809,0.0245232
2810422J05Rik,0.034247429,0.95283
2810422O20Rik,-0.339621167,0.601353
2810428I15Rik,0.198455805,0.646183
2810429I04Rik,0.082997116,1
2810432D09Rik,-0.168872716,0.758959
2810432L12Rik,-1.172550926,0.0103281
2810433D01Rik,-2.394458614,0.00605
2810433K01Rik,-1.836613257,1
2810442I21Rik,0.490699556,1
2810453I06Rik,-0.146571247,0.744648
2810454H06Rik,-0.537902801,1
2810459M11Rik,2.365012347,0.000670633
2810474O19Rik,-0.173161477,0.530182
2900002K06Rik,0.336610914,0.941218
2900005J15Rik,-0.38917125,0.554341
2900006K08Rik,-1.39029428,0.470765
2900010J23Rik,0.143774612,0.721146
2900010M23Rik,0.340997073,0.444576
2900011O08Rik,0.011759652,1
2900024O10Rik,0.640267337,0.866334
2900026A02Rik,0.017785139,0.967329
2900041M22Rik,-0.085143556,1
2900052N01Rik,-0.430047973,1
2900053A13Rik,0.313356192,0.542245
2900060B14Rik,0.145357393,1
2900062L11Rik,-1.889976963,0.00752344
2900064A13Rik,0.10329,0.799459
2900073G15Rik,-0.015352033,0.972805
2900079G21Rik,0,1
2900083I11Rik,-0.102718324,1
2900092C05Rik,0,1
2900092D14Rik,-0.55334759,1
2900092E17Rik,-0.247914219,0.513306
2900097C17Rik,-0.026991902,0.948527
2b4,0.128599282,0.950732
3000002C10Rik,0.034946113,0.97839
3010026O09Rik,-0.728379391,0.25323
3110001D03Rik,-0.055322967,0.939298
3110001I22Rik,0.399422015,0.801241
3110001K24Rik,-0.925185862,0.806751
3110002H16Rik,0.049923638,0.958854
3110003A17Rik,0.451669279,0.266632
3110007F17Rik,-1.059447731,0.193902
3110009E18Rik,-0.264419531,0.782246
3110021A11Rik,0.133796426,0.930257
