Gene,FDR,FC
Anxa5,0.000393579,0.254002721
Anxa6,0.000780614,0.343435489
Anxa8,0.000343263,12.35368832
Anxa8,0.000394699,12.31782121
Anxa8,0.000591477,12.22927807
Anxa8,0.000546816,12.16590474
Anxa8,0.000435337,12.12196526
Anxa8,0.000484661,11.99897823
Anxa8,0.000469688,11.93447849
Anxa8,0.000646097,11.85446506
Anxa8,0.000643308,11.7939089
Anxa8,0.000579392,11.75936593
Anxa8,0.000497312,11.27939068
Aoc2,0.000156588,0.471117981
Ap1m2,4.72E-05,3.344753819
Ap1s2,0.030030309,0.313336565
Ap3m2,0.004931091,0.460718293
Ap3s1,0.086867747,1.491234251
Apba1,0.002358128,0.231785463
Apbb1,0.000194942,0.275134095
Apc2,0.001094184,0.421958245
Apex1,0.001384964,2.328670994
Apln,0.003815896,0.266642472
Aplnr,0.010433499,0.218373652
Apobec3,0.006991509,2.851101227
Apobec4,0.000907579,0.360166053
Apol7a,1.67E-05,47.23548491
Apol7a,1.74E-05,13.71719654
Apol7b,0.007832448,0.438238732
Aqp1,8.20E-05,0.140542063
Aqp3,1.95E-06,176.6665113
Aqp4,3.13E-05,37.8994472
Aqp4,8.12E-05,36.85595069
Ar,0.000260587,0.191498118
Araf,0.007139428,0.487167184
Araf,0.015648963,0.545178747
Arap2,0.009434807,0.201956571
Arap3,0.000211188,0.078073617
Arap3,7.76E-05,0.110492204
Arc,0.002798582,14.7858145
Arg1,0.000193088,404.5236784
Arhgap11a,0.104835163,1.817726474
Arhgap15,0.007239289,0.237283723
Arhgap15,0.001665851,0.254346463
Arhgap21,0.000187256,0.531028041
Arhgap23,3.89E-05,0.455745948
Arhgap28,0.002824385,0.250982149
Arhgap29,0.001360338,0.223066968
Arhgap29,0.001519996,0.264466423
Arhgap31,1.22E-05,0.173251871
Arhgap32,0.00027696,2.797579236
Arhgap33,0.009194282,0.571763736
Arhgap4,0.004251133,0.305454933
Arhgap4,0.007002478,0.307498266
Arhgap42,1.55E-05,0.432396363
Arhgap6,7.65E-06,0.170071436
Arhgdig,0.002523097,0.262473556
Arhgdig,0.000862365,0.283927455
Arhgef1,0.003819509,0.366141959
Arhgef10l,0.001414269,2.588828744
Arhgef12,0.001487866,0.41265465
Arhgef16,0.000347858,2.893969477
Arhgef17,0.003370393,0.368037053
Arhgef2,0.000267283,0.284538046
Arhgef25,0.000544984,0.206605194
Arhgef26,0.000220445,0.12989472
Arhgef3,0.000761586,0.30761038
Arhgef38,0.018201894,0.352861244
Arhgef4,0.000352184,4.34095196
Arhgef40,0.000196112,0.421157839
Arhgef6,0.000474562,0.150342009
Arid3b,0.000258963,0.191155102
Arid4a,0.000519393,0.466949866
Arid4a,0.001435482,0.49458913
Arid5b,0.001018296,0.477461562
Arl13b,0.000216122,0.494132742
Arl13b,0.001019063,0.526519713
Arl15,0.018759739,0.498106413
Arl15,0.015097294,0.499369683
Arl15,0.022872934,0.500352397
Arl15,0.026527933,0.503024015
Arl15,0.0247349,0.512465921
