SPRING-x	SPRING-y	Annotation
1600.295	-129.791	Monocyte
-1829.458	-934.894	Mast
-842.267	-709.933	Baso
2713.874	-108.723	Monocyte
2481.953	-2017.829	Neutrophil
1487.075	-2158.403	Neutrophil
661.288	-1215.441	Neutrophil
615.325	-1012.377	Neutrophil
2095.85	-252.704	Monocyte
912.83	-1859.431	Neutrophil
870.095	-246.796	Undifferentiated
2964.386	211.21	Monocyte
2384.401	-430.79	Monocyte
1299.704	-2132.296	Neutrophil
2492.778	-266.076	Monocyte
799.154	-1637.842	Neutrophil
1593.563	-2110.0	Neutrophil
1963.532	-2147.023	Neutrophil
1372.639	-2181.385	Neutrophil
425.29	-97.629	Undifferentiated
2597.582	-401.962	Monocyte
925.467	104.215	Undifferentiated
564.33	-638.116	Undifferentiated
-1166.114	383.255	Undifferentiated
-1824.899	703.594	Meg
2309.454	-328.051	Monocyte
2449.485	-97.973	Monocyte
-1806.307	-927.819	Mast
2978.792	364.827	Monocyte
2737.091	-90.048	Monocyte
-1073.018	-1309.879	Baso
2215.022	-2101.44	Neutrophil
2341.164	-298.976	Monocyte
1737.512	-2202.112	Neutrophil
-3.099	655.202	Undifferentiated
597.636	-747.923	Undifferentiated
137.767	205.408	Undifferentiated
826.898	164.586	Undifferentiated
515.741	146.136	Undifferentiated
1028.166	101.675	Undifferentiated
1748.203	-485.703	Monocyte
958.214	-1895.462	Neutrophil
2423.917	-398.381	Monocyte
2810.783	301.316	Monocyte
-1071.423	231.609	Undifferentiated
1572.928	-2183.76	Neutrophil
-1431.792	-873.512	Mast
-992.134	-935.816	Baso
679.231	-1007.994	Neutrophil
1974.64	-236.938	Monocyte
719.599	-1530.207	Neutrophil
651.235	-1007.839	Neutrophil
977.756	-1942.451	Neutrophil
-1297.434	217.481	Erythroid
-296.396	519.525	Undifferentiated
1343.167	-138.711	Undifferentiated
-904.449	-1946.089	Baso
-1074.399	-1258.459	Baso
2283.676	-1896.604	Neutrophil
2620.216	-484.135	Undifferentiated
-1228.858	-942.454	Undifferentiated
-1151.459	366.556	Undifferentiated
